filmid,title,runtime,genre,director,actors,language,country,imdbRating,metascore,imdbVotes,Worlwide boxoffice,budget,ROI,year,winner,category
tt1010048,Slumdog Millionaire,120 min,Crime,"Danny Boyle, Loveleen Tandan","Dev Patel, Freida Pinto, Saurabh Shukla","English, Hindi",United Kingdom,8.0,84,"894,660",378411362,14000000.0,26.03,2008,yes,best picture
tt0327597,Coraline,100 min,Animation,Henry Selick,"Dakota Fanning, Teri Hatcher, John Hodgman","English, Russian",United States,7.8,80,"283,568",185860104,60000000.0,2.1,2009,no,animated feature film
tt0432283,Fantastic Mr. Fox,87 min,Animation,Wes Anderson,"George Clooney, Meryl Streep, Bill Murray","English, French",United States,7.9,83,"285,607",58091644,40000000.0,0.45,2009,no,animated feature film
tt0780521,The Princess and the Frog,97 min,Animation,"Ron Clements, John Musker","Anika Noni Rose, Keith David, Oprah Winfrey","English, French",United States,7.2,73,"177,373",267056816,105000000.0,1.54,2009,no,animated feature film
tt0485601,The Secret of Kells,75 min,Animation,"Tomm Moore, Nora Twomey","Evan McGuire, Brendan Gleeson, Mick Lally","Irish Gaelic, Norwegian, Latin, English",Ireland,7.5,81,"38,868",1822189,8000000.0,-0.77,2009,no,animated feature film
tt1049413,Up,96 min,Animation,"Pete Docter, Bob Peterson","Edward Asner, Jordan Nagai, John Ratzenberger",English,United States,8.3,88,"1,166,741",735103954,175000000.0,3.2,2009,yes,animated feature film
tt1049413,Up,96 min,Animation,"Pete Docter, Bob Peterson","Edward Asner, Jordan Nagai, John Ratzenberger",English,United States,8.3,88,"1,166,741",735103954,175000000.0,3.2,2009,no,best picture
tt1077262,Ajami,124 min,Crime,"Scandar Copti, Yaron Shani","Fouad Habash, Nisrin Siksik, Elias Saba","Arabic, Hebrew",Germany,7.3,82,"6,636",1331651,1000000.0,0.33,2009,no,foreign language film
tt1206488,The Milk of Sorrow,94 min,Drama,Claudia Llosa,"Magaly Solier, Susi Sánchez, Efraín Solís","Spanish, Quechua",Spain,6.7,68,"7,444",1557750,2000000.0,-0.22,2009,no,foreign language film
tt1235166,A Prophet,155 min,Crime,Jacques Audiard,"Tahar Rahim, Niels Arestrup, Adel Bencherif","French, Arabic, Corsican",France,7.8,90,"103,929",17873691,10000000.0,0.79,2009,no,foreign language film
